#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
666518414,-0.304,0.015,-1.113,
666556938,-0.339,0.032,-1.087,
666595463,-0.317,0.037,-1.061,
666633987,-0.272,0.003,-1.088,
666672511,-0.228,0.005,-1.033,
666711035,-0.141,-0.03,-0.953,
666749560,-0.065,-0.009,-1.1,
666788084,-0.063,-0.018,-0.838,
666826608,0.073,0.004,-1.131,
666865133,0.068,0.029,-0.955,
666903657,0.154,-0.044,-0.944,
666942181,0.222,0.038,-1.035,
666980705,0.285,-0.032,-0.946,
667019229,0.353,-0.039,-0.98,
667057754,0.367,-0.054,-0.802,
667096278,0.375,-0.06,-0.816,
667134802,0.329,-0.058,-0.805,
667173326,0.247,-0.019,-0.762,
667211850,0.142,-0.103,-0.813,
667250375,0.132,-0.006,-1.217,
667288899,-0.007,-0.017,-0.831,
667327423,-0.006,0.065,-1.246,
667365947,-0.06,0.087,-1.314,
667404472,-0.103,0.107,-1.28,
667442996,-0.078,0.045,-1.356,
667481520,-0.064,-0.027,-1.189,
667520044,-0.011,0.023,-1.046,
667558569,0.012,0.007,-0.783,
667597092,0.055,-0.012,-0.636,
667635617,0.098,-0.031,-0.592,
667674141,0.062,-0.016,-0.531,
667712666,0.003,0.015,-0.846,
667751190,-0.066,0.1,-1.167,
667789714,-0.102,0.052,-1.398,
667828238,-0.113,0.034,-1.47,
667866762,-0.08,0.027,-1.414,
667905286,-0.028,-0.016,-1.223,
667943811,0.005,-0.012,-0.954,
667982335,0.05,-0.02,-0.802,
668020860,0.08,-0.012,-0.721,
668059384,0.076,0.016,-0.6,
668097908,0.064,-0.002,-0.735,
668136432,0.02,0.083,-1,
668174957,-0.031,0.061,-1.155,
668213480,-0.029,0.045,-1.405,
668252005,-0.042,0.035,-1.32,
668290529,-0.007,0.02,-1.181,
668329053,0.033,0,-1.056,
668367578,0.057,-0.003,-0.854,
668406102,0.096,0.017,-0.782,
668444626,0.129,-0.02,-0.757,
668483150,0.167,-0.039,-0.829,
668521675,0.158,-0.092,-0.942,
668560199,0.125,-0.205,-1.009,
668598723,0.019,-0.068,-1.008,
668637247,-0.098,0.186,-1.181,
668675772,-0.183,0.29,-1.279,
668714295,-0.18,0.317,-1.273,
668752820,-0.124,0.221,-1.103,
668791345,-0.032,0.063,-1.006,
668829869,0.053,-0.041,-0.939,
668868393,0.123,-0.178,-0.932,
668906917,0.159,-0.225,-0.908,
668945441,0.137,-0.199,-0.91,
668983966,0.097,-0.135,-0.906,
669022490,0.026,0.059,-0.989,
669061014,-0.057,0.278,-1.04,
669099538,-0.103,0.387,-1.16,
669138062,-0.116,0.428,-1.141,
669176587,-0.076,0.351,-1.089,
669215111,-0.002,0.068,-1.024,
669253635,0.069,-0.196,-0.917,
669292159,0.114,-0.269,-0.919,
669330684,0.107,-0.193,-0.903,
669369208,0.076,-0.124,-0.931,
669407732,0.021,0.027,-1.005,
669446257,-0.029,0.247,-1.099,
669484781,-0.047,0.345,-1.165,
669523305,-0.063,0.414,-1.086,
